Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
2010–2012,11,Ingen tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2010–2012,439,Ingen tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2010–2012,665,Ingen tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2010–2012,1044,Ingen tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2010–2012,1446,Ingen tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2010–2012,2495,Ingen tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2010–2012,1541,Ingen tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2010–2012,823,Ingen tilbagefald,Videregående uddannelse,Kvinder,60+ år
2010–2012,59,Ingen tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2010–2012,396,Ingen tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2010–2012,637,Ingen tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2010–2012,510,Ingen tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2010–2012,443,Ingen tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2010–2012,837,Ingen tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2010–2012,492,Ingen tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2010–2012,319,Ingen tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2010–2012,21,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2010–2012,94,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2010–2012,130,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2010–2012,108,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2010–2012,100,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2010–2012,158,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2010–2012,94,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2010–2012,69,Ingen tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2010–2012,1322,1 tilbagefald,Grundskole,Mænd,15–19 år
2010–2012,1255,1 tilbagefald,Grundskole,Mænd,20–24 år
2010–2012,877,1 tilbagefald,Grundskole,Mænd,25–29 år
2010–2012,745,1 tilbagefald,Grundskole,Mænd,30–34 år
2010–2012,689,1 tilbagefald,Grundskole,Mænd,35–39 år
2010–2012,1265,1 tilbagefald,Grundskole,Mænd,40–49 år
2010–2012,569,1 tilbagefald,Grundskole,Mænd,50–59 år
2010–2012,338,1 tilbagefald,Grundskole,Mænd,60+ år
2010–2012,178,1 tilbagefald,Grundskole,Kvinder,15–19 år
2010–2012,173,1 tilbagefald,Grundskole,Kvinder,20–24 år
2010–2012,118,1 tilbagefald,Grundskole,Kvinder,25–29 år
2010–2012,127,1 tilbagefald,Grundskole,Kvinder,30–34 år
2010–2012,139,1 tilbagefald,Grundskole,Kvinder,35–39 år
2010–2012,220,1 tilbagefald,Grundskole,Kvinder,40–49 år
2010–2012,110,1 tilbagefald,Grundskole,Kvinder,50–59 år
2010–2012,93,1 tilbagefald,Grundskole,Kvinder,60+ år
2010–2012,296,1 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2010–2012,234,1 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2010–2012,107,1 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2010–2012,91,1 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2010–2012,128,1 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2010–2012,201,1 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2010–2012,103,1 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2010–2012,35,1 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2010–2012,30,1 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2010–2012,56,1 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2010–2012,21,1 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2010–2012,27,1 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2010–2012,30,1 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2010–2012,49,1 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2010–2012,14,1 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2010–2012,2,1 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2010–2012,826,1 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2010–2012,1163,1 tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2010–2012,760,1 tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2010–2012,748,1 tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2010–2012,832,1 tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2010–2012,1566,1 tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2010–2012,731,1 tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2010–2012,351,1 tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2010–2012,63,1 tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2010–2012,111,1 tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2010–2012,104,1 tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2010–2012,139,1 tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2010–2012,153,1 tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2010–2012,279,1 tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2010–2012,114,1 tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2010–2012,57,1 tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2010–2012,3,1 tilbagefald,Videregående uddannelse,Mænd,15–19 år
2010–2012,132,1 tilbagefald,Videregående uddannelse,Mænd,20–24 år
2010–2012,168,1 tilbagefald,Videregående uddannelse,Mænd,25–29 år
2010–2012,216,1 tilbagefald,Videregående uddannelse,Mænd,30–34 år
2010–2012,298,1 tilbagefald,Videregående uddannelse,Mænd,35–39 år
2010–2012,710,1 tilbagefald,Videregående uddannelse,Mænd,40–49 år
2010–2012,445,1 tilbagefald,Videregående uddannelse,Mænd,50–59 år
2010–2012,235,1 tilbagefald,Videregående uddannelse,Mænd,60+ år
2010–2012,0,1 tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2010–2012,32,1 tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2010–2012,41,1 tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2010–2012,88,1 tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2010–2012,131,1 tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2010–2012,296,1 tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2010–2012,124,1 tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2010–2012,50,1 tilbagefald,Videregående uddannelse,Kvinder,60+ år
2010–2012,40,1 tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2010–2012,128,1 tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2010–2012,181,1 tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2010–2012,129,1 tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2010–2012,127,1 tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2010–2012,197,1 tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2010–2012,112,1 tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2010–2012,28,1 tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2010–2012,7,1 tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2010–2012,13,1 tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2010–2012,17,1 tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2010–2012,17,1 tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2010–2012,12,1 tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2010–2012,21,1 tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2010–2012,17,1 tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2010–2012,5,1 tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2010–2012,683,2 tilbagefald,Grundskole,Mænd,15–19 år
2010–2012,663,2 tilbagefald,Grundskole,Mænd,20–24 år
2010–2012,447,2 tilbagefald,Grundskole,Mænd,25–29 år
2010–2012,386,2 tilbagefald,Grundskole,Mænd,30–34 år
2010–2012,306,2 tilbagefald,Grundskole,Mænd,35–39 år
2010–2012,515,2 tilbagefald,Grundskole,Mænd,40–49 år
2010–2012,238,2 tilbagefald,Grundskole,Mænd,50–59 år
2010–2012,80,2 tilbagefald,Grundskole,Mænd,60+ år
2010–2012,68,2 tilbagefald,Grundskole,Kvinder,15–19 år
2010–2012,87,2 tilbagefald,Grundskole,Kvinder,20–24 år
2010–2012,65,2 tilbagefald,Grundskole,Kvinder,25–29 år
2010–2012,50,2 tilbagefald,Grundskole,Kvinder,30–34 år
2010–2012,50,2 tilbagefald,Grundskole,Kvinder,35–39 år
2010–2012,83,2 tilbagefald,Grundskole,Kvinder,40–49 år
2010–2012,40,2 tilbagefald,Grundskole,Kvinder,50–59 år
2010–2012,20,2 tilbagefald,Grundskole,Kvinder,60+ år
2010–2012,110,2 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2010–2012,101,2 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2010–2012,35,2 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2010–2012,34,2 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2010–2012,31,2 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2010–2012,65,2 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2010–2012,27,2 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2010–2012,3,2 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2010–2012,6,2 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2010–2012,9,2 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2010–2012,4,2 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2010–2012,4,2 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2010–2012,8,2 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2010–2012,8,2 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2010–2012,6,2 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2010–2012,1,2 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2010–2012,383,2 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2010–2012,489,2 tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2010–2012,291,2 tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2010–2012,262,2 tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2010–2012,264,2 tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2010–2012,472,2 tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2010–2012,212,2 tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2010–2012,98,2 tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2010–2012,15,2 tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2010–2012,26,2 tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2010–2012,24,2 tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2010–2012,18,2 tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2010–2012,39,2 tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2010–2012,72,2 tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2010–2012,21,2 tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2010–2012,16,2 tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2010–2012,1,2 tilbagefald,Videregående uddannelse,Mænd,15–19 år
2010–2012,28,2 tilbagefald,Videregående uddannelse,Mænd,20–24 år
2010–2012,44,2 tilbagefald,Videregående uddannelse,Mænd,25–29 år
2010–2012,56,2 tilbagefald,Videregående uddannelse,Mænd,30–34 år
2010–2012,70,2 tilbagefald,Videregående uddannelse,Mænd,35–39 år
2010–2012,165,2 tilbagefald,Videregående uddannelse,Mænd,40–49 år
2010–2012,89,2 tilbagefald,Videregående uddannelse,Mænd,50–59 år
2010–2012,41,2 tilbagefald,Videregående uddannelse,Mænd,60+ år
2010–2012,1,2 tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2010–2012,4,2 tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2010–2012,10,2 tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2010–2012,15,2 tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2010–2012,17,2 tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2010–2012,46,2 tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2010–2012,30,2 tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2010–2012,8,2 tilbagefald,Videregående uddannelse,Kvinder,60+ år
2010–2012,19,2 tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2010–2012,64,2 tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2010–2012,71,2 tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2010–2012,59,2 tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2010–2012,63,2 tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2010–2012,98,2 tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2010–2012,47,2 tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2010–2012,4,2 tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2010–2012,0,2 tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2010–2012,3,2 tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2010–2012,8,2 tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2010–2012,8,2 tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2010–2012,5,2 tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2010–2012,9,2 tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2010–2012,5,2 tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2010–2012,1,2 tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2010–2012,488,3 tilbagefald,Grundskole,Mænd,15–19 år
2010–2012,378,3 tilbagefald,Grundskole,Mænd,20–24 år
2010–2012,318,3 tilbagefald,Grundskole,Mænd,25–29 år
2010–2012,235,3 tilbagefald,Grundskole,Mænd,30–34 år
2010–2012,175,3 tilbagefald,Grundskole,Mænd,35–39 år
2010–2012,269,3 tilbagefald,Grundskole,Mænd,40–49 år
2010–2012,89,3 tilbagefald,Grundskole,Mænd,50–59 år
2010–2012,32,3 tilbagefald,Grundskole,Mænd,60+ år
2010–2012,31,3 tilbagefald,Grundskole,Kvinder,15–19 år
2010–2012,34,3 tilbagefald,Grundskole,Kvinder,20–24 år
2010–2012,24,3 tilbagefald,Grundskole,Kvinder,25–29 år
2010–2012,30,3 tilbagefald,Grundskole,Kvinder,30–34 år
2010–2012,23,3 tilbagefald,Grundskole,Kvinder,35–39 år
2010–2012,38,3 tilbagefald,Grundskole,Kvinder,40–49 år
2010–2012,13,3 tilbagefald,Grundskole,Kvinder,50–59 år
2010–2012,3,3 tilbagefald,Grundskole,Kvinder,60+ år
2010–2012,53,3 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2010–2012,54,3 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2010–2012,14,3 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2010–2012,21,3 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2010–2012,14,3 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2010–2012,22,3 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2010–2012,11,3 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2010–2012,2,3 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2010–2012,0,3 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2010–2012,4,3 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2010–2012,4,3 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2010–2012,3,3 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2010–2012,5,3 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2010–2012,1,3 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2010–2012,2,3 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2010–2012,0,3 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2010–2012,220,3 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2010–2012,256,3 tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2010–2012,137,3 tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2010–2012,146,3 tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2010–2012,129,3 tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2010–2012,176,3 tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2010–2012,85,3 tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2010–2012,34,3 tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2010–2012,6,3 tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2010–2012,10,3 tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2010–2012,8,3 tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2010–2012,10,3 tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2010–2012,11,3 tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2010–2012,18,3 tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2010–2012,7,3 tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2010–2012,2,3 tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2010–2012,1,3 tilbagefald,Videregående uddannelse,Mænd,15–19 år
2010–2012,18,3 tilbagefald,Videregående uddannelse,Mænd,20–24 år
2010–2012,20,3 tilbagefald,Videregående uddannelse,Mænd,25–29 år
2010–2012,18,3 tilbagefald,Videregående uddannelse,Mænd,30–34 år
2010–2012,8,3 tilbagefald,Videregående uddannelse,Mænd,35–39 år
2010–2012,46,3 tilbagefald,Videregående uddannelse,Mænd,40–49 år
2010–2012,30,3 tilbagefald,Videregående uddannelse,Mænd,50–59 år
2010–2012,9,3 tilbagefald,Videregående uddannelse,Mænd,60+ år
2010–2012,1,3 tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2010–2012,0,3 tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2010–2012,2,3 tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2010–2012,2,3 tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2010–2012,4,3 tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2010–2012,7,3 tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2010–2012,10,3 tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2010–2012,0,3 tilbagefald,Videregående uddannelse,Kvinder,60+ år
2010–2012,10,3 tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2010–2012,45,3 tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2010–2012,56,3 tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2010–2012,31,3 tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2010–2012,28,3 tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2010–2012,43,3 tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2010–2012,17,3 tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2010–2012,4,3 tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2010–2012,0,3 tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2010–2012,3,3 tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2010–2012,2,3 tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2010–2012,2,3 tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2010–2012,0,3 tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2010–2012,5,3 tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2010–2012,2,3 tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2010–2012,0,3 tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2010–2012,1019,4-9 tilbagefald,Grundskole,Mænd,15–19 år
2010–2012,1120,4-9 tilbagefald,Grundskole,Mænd,20–24 år
2010–2012,644,4-9 tilbagefald,Grundskole,Mænd,25–29 år
2010–2012,461,4-9 tilbagefald,Grundskole,Mænd,30–34 år
2010–2012,333,4-9 tilbagefald,Grundskole,Mænd,35–39 år
2010–2012,436,4-9 tilbagefald,Grundskole,Mænd,40–49 år
2010–2012,105,4-9 tilbagefald,Grundskole,Mænd,50–59 år
2010–2012,24,4-9 tilbagefald,Grundskole,Mænd,60+ år
2010–2012,56,4-9 tilbagefald,Grundskole,Kvinder,15–19 år
2010–2012,62,4-9 tilbagefald,Grundskole,Kvinder,20–24 år
2010–2012,32,4-9 tilbagefald,Grundskole,Kvinder,25–29 år
2010–2012,32,4-9 tilbagefald,Grundskole,Kvinder,30–34 år
2010–2012,51,4-9 tilbagefald,Grundskole,Kvinder,35–39 år
2010–2012,54,4-9 tilbagefald,Grundskole,Kvinder,40–49 år
2010–2012,10,4-9 tilbagefald,Grundskole,Kvinder,50–59 år
2010–2012,3,4-9 tilbagefald,Grundskole,Kvinder,60+ år
2010–2012,69,4-9 tilbagefald,Gymnasial uddannelse,Mænd,15–19 år
2010–2012,45,4-9 tilbagefald,Gymnasial uddannelse,Mænd,20–24 år
2010–2012,23,4-9 tilbagefald,Gymnasial uddannelse,Mænd,25–29 år
2010–2012,24,4-9 tilbagefald,Gymnasial uddannelse,Mænd,30–34 år
2010–2012,8,4-9 tilbagefald,Gymnasial uddannelse,Mænd,35–39 år
2010–2012,24,4-9 tilbagefald,Gymnasial uddannelse,Mænd,40–49 år
2010–2012,7,4-9 tilbagefald,Gymnasial uddannelse,Mænd,50–59 år
2010–2012,6,4-9 tilbagefald,Gymnasial uddannelse,Mænd,60+ år
2010–2012,2,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,15–19 år
2010–2012,5,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,20–24 år
2010–2012,4,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,25–29 år
2010–2012,1,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,30–34 år
2010–2012,5,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,35–39 år
2010–2012,3,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,40–49 år
2010–2012,5,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,50–59 år
2010–2012,0,4-9 tilbagefald,Gymnasial uddannelse,Kvinder,60+ år
2010–2012,376,4-9 tilbagefald,Erhvervsuddannelse,Mænd,15–19 år
2010–2012,433,4-9 tilbagefald,Erhvervsuddannelse,Mænd,20–24 år
2010–2012,224,4-9 tilbagefald,Erhvervsuddannelse,Mænd,25–29 år
2010–2012,190,4-9 tilbagefald,Erhvervsuddannelse,Mænd,30–34 år
2010–2012,149,4-9 tilbagefald,Erhvervsuddannelse,Mænd,35–39 år
2010–2012,234,4-9 tilbagefald,Erhvervsuddannelse,Mænd,40–49 år
2010–2012,66,4-9 tilbagefald,Erhvervsuddannelse,Mænd,50–59 år
2010–2012,21,4-9 tilbagefald,Erhvervsuddannelse,Mænd,60+ år
2010–2012,14,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,15–19 år
2010–2012,12,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,20–24 år
2010–2012,11,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,25–29 år
2010–2012,16,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,30–34 år
2010–2012,9,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,35–39 år
2010–2012,14,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,40–49 år
2010–2012,7,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,50–59 år
2010–2012,5,4-9 tilbagefald,Erhvervsuddannelse,Kvinder,60+ år
2010–2012,1,4-9 tilbagefald,Videregående uddannelse,Mænd,15–19 år
2010–2012,21,4-9 tilbagefald,Videregående uddannelse,Mænd,20–24 år
2010–2012,20,4-9 tilbagefald,Videregående uddannelse,Mænd,25–29 år
2010–2012,11,4-9 tilbagefald,Videregående uddannelse,Mænd,30–34 år
2010–2012,21,4-9 tilbagefald,Videregående uddannelse,Mænd,35–39 år
2010–2012,52,4-9 tilbagefald,Videregående uddannelse,Mænd,40–49 år
2010–2012,21,4-9 tilbagefald,Videregående uddannelse,Mænd,50–59 år
2010–2012,13,4-9 tilbagefald,Videregående uddannelse,Mænd,60+ år
2010–2012,0,4-9 tilbagefald,Videregående uddannelse,Kvinder,15–19 år
2010–2012,0,4-9 tilbagefald,Videregående uddannelse,Kvinder,20–24 år
2010–2012,2,4-9 tilbagefald,Videregående uddannelse,Kvinder,25–29 år
2010–2012,3,4-9 tilbagefald,Videregående uddannelse,Kvinder,30–34 år
2010–2012,5,4-9 tilbagefald,Videregående uddannelse,Kvinder,35–39 år
2010–2012,11,4-9 tilbagefald,Videregående uddannelse,Kvinder,40–49 år
2010–2012,8,4-9 tilbagefald,Videregående uddannelse,Kvinder,50–59 år
2010–2012,3,4-9 tilbagefald,Videregående uddannelse,Kvinder,60+ år
2010–2012,43,4-9 tilbagefald,Uoplyst uddannelse,Mænd,15–19 år
2010–2012,113,4-9 tilbagefald,Uoplyst uddannelse,Mænd,20–24 år
2010–2012,113,4-9 tilbagefald,Uoplyst uddannelse,Mænd,25–29 år
2010–2012,65,4-9 tilbagefald,Uoplyst uddannelse,Mænd,30–34 år
2010–2012,67,4-9 tilbagefald,Uoplyst uddannelse,Mænd,35–39 år
2010–2012,77,4-9 tilbagefald,Uoplyst uddannelse,Mænd,40–49 år
2010–2012,24,4-9 tilbagefald,Uoplyst uddannelse,Mænd,50–59 år
2010–2012,1,4-9 tilbagefald,Uoplyst uddannelse,Mænd,60+ år
2010–2012,1,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,15–19 år
2010–2012,6,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,20–24 år
2010–2012,4,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,25–29 år
2010–2012,1,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,30–34 år
2010–2012,2,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,35–39 år
2010–2012,6,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,40–49 år
2010–2012,4,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,50–59 år
2010–2012,0,4-9 tilbagefald,Uoplyst uddannelse,Kvinder,60+ år
2010–2012,510,10 eller flere tilbagefald,Grundskole,Mænd,15–19 år
2010–2012,634,10 eller flere tilbagefald,Grundskole,Mænd,20–24 år
2010–2012,334,10 eller flere tilbagefald,Grundskole,Mænd,25–29 år
2010–2012,270,10 eller flere tilbagefald,Grundskole,Mænd,30–34 år
2010–2012,135,10 eller flere tilbagefald,Grundskole,Mænd,35–39 år
2010–2012,141,10 eller flere tilbagefald,Grundskole,Mænd,40–49 år
2010–2012,17,10 eller flere tilbagefald,Grundskole,Mænd,50–59 år
2010–2012,1,10 eller flere tilbagefald,Grundskole,Mænd,60+ år
2010–2012,25,10 eller flere tilbagefald,Grundskole,Kvinder,15–19 år
2010–2012,23,10 eller flere tilbagefald,Grundskole,Kvinder,20–24 år
